#dane.dat
#przykładowe dane
#czas(s) droga(m) predkosc(m/s)
1.251327 1.0247305 0.8189150397937549
1.502655 1.0652931 0.708940575181928
1.753982 1.125012 0.6414045298070333
1.00531 1.196106 1.1897882245277576
1.25664 1.270357 1.0109156162464985
1.50796 1.339749 0.8884512851799783
1.75929 1.397015 0.7940788613588435
1.01062 1.436054 1.4209633690209968
1.26195 1.452214 1.1507698403264788
1.51327 1.442452 0.9532020062513631
1.7646 1.405419 0.7964518871132268
1.01593 1.341495 1.3204600710678887
1.26726 1.252758 0.9885564130486246
1.51858 1.142889 0.752603748238486
1.76991 1.0169508 0.5745776903910368
1.02124 1.118975 1.0957022834984922
0.0 0.0 None
